,GDPDEF,INFL,UNRATE,UNRATENSA,FEDFUNDS,DFEDFUNDS,LONGRATE,DM2SL,DM2MSL,DMZMSL,DM1SL,DMBSL,EXCSR,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP,SPD,DINFL,DLONGRATE,rinfl,rygap,rr,rr1
"1959-4",16.498999999999999,1.5549999999999999,5.5999999999999996,5.0330000000000004,3.9900000000000002,0.41299999999999998,4.5830000000000002,1.393494695,2.061377249,2.061377249,-3.5959551379999999,-1.0394529130000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.30002489599999999,#N/A,0.019,0.080000000000000002,#N/A,#N/A,#N/A,#N/A
"1960-1",16.565999999999999,1.621,5.133,5.9669999999999996,3.9329999999999998,-0.057000000000000002,4.4870000000000001,2.1035013509999998,2.5618719300000001,2.5618719300000001,-1.046996434,0,0.025989999999999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.96027245299999997,#N/A,0.066000000000000003,-0.096000000000000002,#N/A,#N/A,#N/A,#N/A
"1960-2",16.606999999999999,0.98899999999999999,5.2329999999999997,5.2670000000000003,3.6970000000000001,-0.23599999999999999,4.2599999999999998,3.2010841060000002,2.8222891940000001,2.8222891940000001,-0.85867653700000002,0.12965300900000001,0.025420000000000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.56194109599999997,#N/A,-0.63200000000000001,-0.22700000000000001,-0.9412589268767112,-1.5184742808180589,1.9302589268767112,0.95653318481805893
"1960-3",16.664999999999999,1.395,5.5330000000000004,5.133,2.9369999999999998,-0.76000000000000001,3.8330000000000002,7.0666236869999999,6.3123093819999996,6.3123093819999996,3.7076914310000002,2.1603743849999999,0.03141,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.0538547549999999,#N/A,0.40600000000000003,-0.42699999999999999,0.11594625217038113,-0.5828569340998534,1.2790537478296189,-0.47099782090014652
"1960-4",16.713999999999999,1.1739999999999999,6.2670000000000003,5.6669999999999998,2.2970000000000002,-0.64000000000000001,3.887,5.7878128899999997,5.9013402160000004,5.9013402160000004,-0.18930431,2.6175934870000002,0.041959999999999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.2882791230000001,#N/A,-0.221,0.053999999999999999,-0.34204550389222543,-2.3900761116755906,1.5160455038922254,-0.89820301132440949
"1961-1",16.75,0.86099999999999999,6.7999999999999998,7.8330000000000002,2.0030000000000001,-0.29399999999999998,3.7869999999999999,6.8450413530000001,6.8279201660000002,6.8279201660000002,1.983240989,1.608035605,0.040390000000000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.5931972390000002,#N/A,-0.313,-0.10000000000000001,-0.25468548952945702,-0.61236958451327017,1.115685489529457,-2.9808276544867303
"1961-2",16.789000000000001,0.93000000000000005,7,6.9669999999999996,1.7330000000000001,-0.27000000000000002,3.79,7.3097632800000003,6.4106032769999999,6.4106032769999999,2.9097863849999999,0.50999017099999999,0.03628,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.9145933579999999,#N/A,0.069000000000000006,0.0030000000000000001,0.11560075774079726,0.3382045993553745,0.81439924225920279,-3.2527979573553742
"1961-3",16.832000000000001,1.0229999999999999,6.7670000000000003,6.2999999999999998,1.6830000000000001,-0.050000000000000003,3.98,6.6904232749999997,5.5848829069999999,5.5848829069999999,2.3312806400000001,3.2459687229999998,0.036130000000000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.0196682259999998,#N/A,0.092999999999999999,0.19,0.1203002509582044,0.57576362705151563,0.90269974904179551,-2.5954318530515152
"1961-4",16.885000000000002,1.258,6.2000000000000002,5.633,2.3999999999999999,0.71699999999999997,3.9729999999999999,6.9805574459999997,7.2713902570000002,7.2713902570000002,3.6098821889999999,5.4603734150000003,0.033689999999999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.0838511099999999,#N/A,0.23499999999999999,-0.0070000000000000001,0.21425825516876573,0.66106505055474307,1.0437417448312343,-1.744916160554743
"1962-1",16.972000000000001,2.056,5.633,6.4669999999999996,2.4569999999999999,0.057000000000000002,4.0170000000000003,8.1954665710000008,6.8122103359999997,6.8122103359999997,2.571765461,3.2089053719999998,0.031780000000000003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.31744133099999999,1.5929032299999999,0.79800000000000004,0.043999999999999997,0.69449845338087046,0.57986670978925647,1.3615015466191296,-0.89730804078925641
"1962-2",16.998999999999999,0.63600000000000001,5.5330000000000004,5.5,2.6070000000000002,0.14999999999999999,3.8730000000000002,8.3764573339999995,6.6171222079999996,6.6171222079999996,2.6462968650000001,4.3054330170000004,0.029229999999999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.44305688700000001,1.2368254000000001,-1.4199999999999999,-0.14399999999999999,-1.4408504167414438,-0.26582496996728777,2.0768504167414439,-0.17723191703271224
